Date;P_X7.5Y48;T_X7.5Y48;ETP_X7.5Y48;RAD_X7.5Y48;Q_Obs
1993-01-01;0.0;-5.439;0.41;19.445;181.36
1993-01-02;0.0;-6.745;0.52;20.168;181.35
1993-01-03;0.0;-9.013;0.49;19.769;181.34
1993-01-04;0.0;-8.597;0.35;16.794;181.33
1993-01-05;0.0;-4.495;0.5;19.46;181.32
1993-01-06;0.19;3.846;0.36;8.996;181.32
1993-01-07;3.13;6.396;-0.06;3.27;181.32
1993-01-08;1.17;6.196;-0.08;3.215;181.32
1993-01-09;0.16;6.144;0.03;7.959;181.31
1993-01-10;0.02;8.446;0.46;8.907;181.32
1993-01-11;6.69;11.569;0.57;2.782;181.32
1993-01-12;6.58;10.835;0.67;4.382;181.33
1993-01-13;0.0;6.958;0.35;12.102;181.38
1993-01-14;1.53;9.713;0.59;15.358;181.4
1993-01-15;0.01;6.385;0.51;16.072;181.42
1993-01-16;0.0;7.632;0.51;19.147;181.43
1993-01-17;0.0;5.73;0.72;22.205;181.43
1993-01-18;0.69;3.953;0.09;9.562;181.42
1993-01-19;0.2;5.464;0.29;7.236;181.42
1993-01-20;0.01;7.92;0.73;12.037;181.41
1993-01-21;0.23;8.384;0.32;6.037;181.4
1993-01-22;1.64;9.825;0.54;5.657;181.39
1993-01-23;2.23;10.154;0.25;2.555;181.38
1993-01-24;2.13;10.526;0.73;8.893;181.37
1993-01-25;11.25;5.464;0.96;18.341;181.39
1993-01-26;0.47;0.689;0.77;22.874;181.43
1993-01-27;7.4;3.375;0.35;9.548;181.45
1993-01-28;1.87;5.623;0.05;5.128;181.47
1993-01-29;1.63;6.189;0.31;13.437;181.48
1993-01-30;0.07;4.008;0.57;19.635;181.48
1993-01-31;0.0;2.082;0.51;23.697;181.48
1993-02-01;0.0;0.908;0.59;26.94;181.47
1993-02-02;0.0;0.052;0.67;27.923;181.47
1993-02-03;0.0;-0.261;0.84;30.798;181.46
1993-02-04;0.0;0.27;0.71;30.696;181.45
1993-02-05;0.0;1.359;0.78;31.512;181.43
1993-02-06;0.33;1.361;0.76;31.746;181.42
1993-02-07;0.04;4.049;0.45;18.032;181.4
1993-02-08;0.12;2.231;0.55;24.769;181.39
1993-02-09;0.01;1.259;0.79;31.68;181.38
1993-02-10;0.0;1.406;0.93;34.095;181.37
1993-02-11;0.0;1.78;0.91;33.855;181.37
1993-02-12;0.01;1.173;0.9;33.252;181.35
1993-02-13;0.0;1.137;0.96;36.538;181.35
1993-02-14;0.01;0.815;1.0;36.108;181.34
