Date;Pluie_Liq;ETR;Humid_sol;Drain;Q_Obs
1970-01-01;0.0;0.1;0.636;0.1;181.44142
1970-01-02;0.0;0.2;0.635;0.1;181.43713
1970-01-03;0.0;0.3;0.633;0.1;181.43286
1970-01-04;15.6;0.0;0.64;0.1;181.42857
1970-01-05;3.2;0.0;0.678;0.1;181.42429
1970-01-06;0.0;0.0;0.681;0.1;181.42
1970-01-07;0.0;0.0;0.68;0.1;181.44286
1970-01-08;2.4;0.0;0.68;0.1;181.46571
1970-01-09;0.0;0.0;0.686;0.1;181.48857
1970-01-10;0.0;0.0;0.704;0.1;181.51143
1970-01-11;0.0;0.1;0.706;0.1;181.53429
1970-01-12;0.0;0.2;0.706;0.1;181.55714
1970-01-13;0.1;0.2;0.705;0.1;181.58
1970-01-14;2.1;0.2;0.704;0.1;181.60286
1970-01-15;0.7;-0.1;0.717;0.1;181.62572
1970-01-16;0.0;-0.1;0.734;0.2;181.64857
1970-01-17;0.0;0.0;0.741;0.2;181.67143
1970-01-18;0.0;0.0;0.751;0.2;181.69429
1970-01-19;0.0;0.3;0.761;0.3;181.71715
1970-01-20;0.0;0.4;0.759;0.2;181.74
1970-01-21;0.0;0.4;0.755;0.2;181.74286
1970-01-22;0.9;0.0;0.756;0.2;181.74571
1970-01-23;0.0;0.1;0.76;0.2;181.74857
1970-01-24;0.0;0.8;0.764;0.3;181.75143
1970-01-25;0.0;0.3;0.767;0.3;181.75429
1970-01-26;0.0;0.2;0.768;0.3;181.75714
1970-01-27;0.0;0.3;0.769;0.3;181.76
1970-01-28;0.0;0.2;0.767;0.3;181.75
1970-01-29;0.1;0.4;0.764;0.3;181.73999
1970-01-30;1.2;0.2;0.765;0.3;181.73
1970-01-31;0.1;0.4;0.771;0.3;181.72
1970-02-01;0.1;0.3;0.768;0.3;181.71
1970-02-02;0.1;0.5;0.789;0.3;181.7
1970-02-03;0.0;1.1;0.819;0.4;181.69
1970-02-04;0.0;1.1;0.838;0.4;181.76143
1970-02-05;0.0;0.6;0.845;0.5;181.83286
1970-02-06;0.1;0.8;0.844;0.5;181.90428
1970-02-07;0.1;0.8;0.849;0.5;181.97572
1970-02-08;0.0;1.9;0.905;0.7;182.04715
1970-02-09;0.0;2.1;0.947;0.9;182.11858
1970-02-10;1.5;1.3;0.971;1.1;182.19
1970-02-11;0.2;0.8;0.975;1.2;182.18143
1970-02-12;3.6;0.9;0.985;1.3;182.17287
1970-02-13;0.5;0.9;0.996;1.5;182.16429
1970-02-14;0.0;0.4;0.988;1.5;182.15572
1970-02-15;0.0;0.5;0.978;1.5;182.14714
1970-02-16;0.1;0.1;0.97;1.4;182.13858
1970-02-17;0.3;0.2;0.964;1.3;182.13
1970-02-18;0.7;0.5;0.961;1.2;182.1543
1970-02-19;0.0;0.4;0.963;1.1;182.17857
1970-02-20;0.0;1.3;0.974;1.1;182.20287
1970-02-21;0.0;0.8;0.99;1.2;182.22714
1970-02-22;0.0;1.6;1.007;1.4;182.25143
1970-02-23;0.6;1.3;1.024;1.6;182.27571
1970-02-24;5.2;0.3;1.058;2.0;182.3
1970-02-25;1.1;1.0;1.057;2.3;182.28285
1970-02-26;0.0;0.5;1.048;2.4;182.26572
1970-02-27;1.1;0.7;1.034;2.3;182.24857
1970-02-28;0.1;0.2;1.024;2.2;182.23143
1970-03-01;0.0;0.7;1.014;2.0;182.21428
1970-03-02;0.6;0.2;1.005;1.8;182.19714
1970-03-03;0.1;0.6;0.996;1.7;182.18
1970-03-04;0.5;0.7;0.986;1.6;182.1457
1970-03-05;0.5;0.2;0.98;1.4;182.11142
1970-03-06;0.1;0.6;0.973;1.4;182.07713
1970-03-07;1.9;0.8;0.965;1.3;182.04286
1970-03-08;1.0;1.0;0.966;1.2;182.00858
1970-03-09;0.2;0.4;0.961;1.2;181.97429
1970-03-10;0.0;1.1;0.952;1.1;181.94
1970-03-11;0.0;0.4;0.944;1.1;181.91714
1970-03-12;0.0;1.1;0.934;1.0;181.89429
1970-03-13;0.0;1.3;0.924;1.0;181.87143
1970-03-14;0.0;1.8;0.912;0.9;181.84857
1970-03-15;0.0;1.2;0.9;0.9;181.82571
1970-03-16;0.0;1.4;0.89;0.8;181.80286
1970-03-17;0.0;0.7;0.883;0.8;181.78
1970-03-18;0.0;1.9;0.889;0.7;181.78285
1970-03-19;0.0;1.6;0.896;0.7;181.78572
1970-03-20;0.0;0.6;0.891;0.7;181.78857
1970-03-21;0.0;1.3;0.883;0.7;181.79143
1970-03-22;0.0;0.0;0.883;0.7;181.79428
1970-03-23;0.0;0.3;0.895;0.6;181.79715
1970-03-24;0.0;0.6;0.893;0.6;181.8
1970-03-25;0.0;1.2;0.885;0.6;181.78857
1970-03-26;0.0;0.9;0.878;0.6;181.77715
1970-03-27;0.7;0.3;0.873;0.6;181.76572
1970-03-28;0.1;1.0;0.868;0.6;181.75429
1970-03-29;0.0;0.7;0.863;0.6;181.74286
1970-03-30;0.0;1.6;0.854;0.6;181.73143
1970-03-31;0.0;2.0;0.857;0.5;181.72
1970-04-01;1.2;1.0;0.873;0.5;181.72
1970-04-02;0.2;1.5;0.878;0.5;181.72
1970-04-03;0.0;1.6;0.871;0.5;181.72
1970-04-04;0.5;1.2;0.866;0.5;181.72
1970-04-05;0.2;0.9;0.864;0.5;181.72
1970-04-06;0.0;0.8;0.859;0.5;181.72
1970-04-07;0.0;0.4;0.859;0.5;181.72
1970-04-08;0.0;0.8;0.857;0.5;181.72
1970-04-09;0.0;1.2;0.856;0.5;181.72
1970-04-10;0.1;1.3;0.848;0.5;181.72
1970-04-11;0.0;2.2;0.837;0.5;181.72
1970-04-12;0.0;0.4;0.837;0.5;181.72
1970-04-13;0.0;2.2;0.851;0.5;181.72
1970-04-14;0.0;0.7;0.851;0.5;181.72
1970-04-15;0.0;2.2;0.842;0.4;181.73714
1970-04-16;0.0;1.9;0.83;0.4;181.75429
1970-04-17;0.0;1.2;0.821;0.4;181.77142
1970-04-18;0.0;3.4;0.806;0.4;181.78857
1970-04-19;0.0;0.8;0.827;0.4;181.80571
1970-04-20;0.0;2.0;0.851;0.4;181.82286
1970-04-21;0.0;3.4;0.835;0.4;181.84
1970-04-22;0.0;1.8;0.823;0.4;181.83714
1970-04-23;0.0;3.6;0.808;0.4;181.83429
1970-04-24;0.0;2.3;0.801;0.4;181.83144
1970-04-25;0.0;3.3;0.789;0.4;181.82857
1970-04-26;0.0;1.0;0.791;0.4;181.82571
1970-04-27;0.0;1.4;0.789;0.3;181.82286
1970-04-28;0.0;1.5;0.79;0.3;181.82
1970-04-29;0.5;1.4;0.788;0.3;181.81143
1970-04-30;0.0;0.9;0.793;0.3;181.80286
1970-05-01;0.0;1.7;0.796;0.3;181.79428
1970-05-02;0.0;0.6;0.799;0.3;181.78572
1970-05-03;0.0;1.0;0.806;0.3;181.77715
1970-05-04;0.0;2.8;0.795;0.3;181.76857
1970-05-05;0.0;3.5;0.777;0.3;181.76
1970-05-06;0.0;2.0;0.767;0.3;181.75429
1970-05-07;0.0;3.3;0.772;0.3;181.74857
1970-05-08;0.0;1.4;0.761;0.3;181.74286
1970-05-09;0.0;1.9;0.752;0.3;181.73714
1970-05-10;0.0;1.1;0.757;0.3;181.73143
1970-05-11;0.0;1.6;0.803;0.3;181.72571
1970-05-12;0.0;1.1;0.803;0.2;181.72
1970-05-13;0.0;1.4;0.8;0.2;181.72714
1970-05-14;0.0;3.5;0.787;0.3;181.73428
1970-05-15;0.0;3.2;0.793;0.3;181.74142
1970-05-16;0.0;1.9;0.787;0.3;181.74858
1970-05-17;0.0;0.8;0.804;0.3;181.75572
1970-05-18;0.0;4.9;0.815;0.3;181.76286
1970-05-19;0.0;4.4;0.792;0.3;181.77
1970-05-20;0.0;1.4;0.783;0.3;181.75143
1970-05-21;0.0;2.2;0.776;0.3;181.73286
1970-05-22;0.0;1.7;0.781;0.3;181.7143
1970-05-23;0.0;1.1;0.776;0.3;181.69571
1970-05-24;0.0;3.3;0.762;0.3;181.67714
1970-05-25;0.0;3.0;0.747;0.3;181.65857
1970-05-26;0.0;3.4;0.73;0.2;181.64
1970-05-27;0.0;3.2;0.714;0.2;181.62428
1970-05-28;0.0;3.6;0.696;0.2;181.60857
1970-05-29;0.0;1.8;0.688;0.2;181.59285
1970-05-30;0.0;1.6;0.691;0.2;181.57715
1970-05-31;0.0;1.3;0.684;0.2;181.56143
1970-06-01;0.0;3.1;0.671;0.2;181.54572
1970-06-02;0.0;2.1;0.66;0.2;181.53
1970-06-03;0.0;4.7;0.64;0.2;181.51857
1970-06-04;0.0;3.0;0.622;0.2;181.50714
1970-06-05;0.0;1.2;0.613;0.1;181.49571
1970-06-06;0.0;2.7;0.601;0.1;181.48428
1970-06-07;0.0;2.6;0.59;0.1;181.47285
1970-06-08;0.0;3.7;0.574;0.1;181.46143
1970-06-09;0.0;3.1;0.574;0.1;181.45
1970-06-10;0.0;1.6;0.574;0.1;181.44714
1970-06-11;0.0;4.1;0.564;0.1;181.44427
1970-06-12;0.0;5.0;0.557;0.1;181.44142
1970-06-13;0.0;4.5;0.537;0.1;181.43857
1970-06-14;0.0;3.2;0.52;0.1;181.43571
1970-06-15;0.0;3.7;0.529;0.1;181.43285
1970-06-16;0.0;3.5;0.558;0.1;181.43
